District,School,LowIncPct,ReadHigh,ReadMed
KISKI AREA,LAUREL POINT EL SCH,43,62,29
FRANKLIN AREA,VICTORY EL SCH,41,38,48
PHILADELPHIA,MASTERMAN JULIA R SEC,45,53,32
SOUTH WILLIAMSPORT,NISBET EL SCH,28,31,52
CRAWFORD CENTRAL,EAST END EL SCH,34,51,28
CORRY AREA,SPARTA EL SCH,45,39,39
FRANKLIN AREA,SEVENTH ST EL SCH,43,38,38
CANON-MCMILLAN,MUSE EL SCH,44,33,42
WEST MIFFLIN AREA,CLARA BARTON EL SCH,37,50,24
WINDBER AREA,WEST END EL SCH,44,47,27
UNIONTOWN AREA,FRANKLIN SCH,43,36,36
KISKI AREA,BELL TWP EL SCH,41,41,31
PUNXSUTAWNEY AREA,PARKVIEW EL SCH,48,33,38
CANON-MCMILLAN,FIRST STREET EL SCH,52,18,50
NORTHERN TIOGA,WESTFIELD AREA EL SCH,51,26,42
BURGETTSTOWN AREA,RACCOON SCH,49,21,46
CONNELLSVILLE AREA,CONNELLSVILLE TWP EL SC,92,38,29
WEST GREENE,GRAYSVILLE EL SCH,54,32,33
CONNELLSVILLE AREA,DUNBAR TWP EL SCH,66,17,47
ARMSTRONG,DAYTON EL SCH,53,35,29
SOUTH ALLEGHENY,GLASSPORT CEN EL SCH,63,35,24
BLACKLICK VALLEY,BLACKLICK VALLEY EL CTR,63,26,32
PITTSBURGH,CLAYTON EL SCH,79,15,35
SCRANTON CITY,JOHN J. AUDUBON #42,83,23,27
GREATER JOHNSTOWN,MEADOWVALE EL SCH,86,12,30
UPPER DARBY,HIGHLAND PARK EL SCH,11,19,20
UPPER DARBY,WESTBROOK PARK EL SCH,10,19,19
BOYERTOWN AREA,EARL EL SCH,6,14,18
WEST PERRY,BLAIN EL SCH,21,17,14
HAMBURG AREA,STRAUSSTOWN EL SCH,11,5,24
KEYSTONE CENTRAL,WOOLRICH EL SCH,29,7,21
WILLIAM PENN,ALDAN SCH,32,8,18
JUNIATA COUNTY,WALKER TWP EL SCH,29,10,15
CHAMBERSBURG AREA,GORDY EL SCH,30,20,5
LEBANON,HOUCK EL SCH,34,2,23
MORRISVILLE BOROUGH,GRANDVIEW EL SCH,13,10,10
SOUTHEAST DELCO,DARBY TWP EL SCH,38,5,14
LANCASTER,BURROWES SCH,43,6,11
CHESTER UPLAND,MAIN STREET SCH,41,0,15
HARRISBURG CITY,WOODWARD EL SCH,46,4,8
HARRISBURG CITY,CAMP CURTIN EL SCH,57,1,9
HARRISBURG CITY,STEELE EL SCH,60,2,4
HARRISBURG CITY,HAMILTON EL SCH,64,0,5
ALLENTOWN,TREXLER MS,53,2,1
CENTRAL BUCKS,BUCKINGHAM EL SCH,5,69,24
BETHEL PARK,BETHEL MEMORIAL EL SCH,5,52,38
YORK SUBURBAN,INDIAN ROCK EL SCH,6,65,25
ELIZABETHTOWN AREA,FAIRVIEW EL SCH,9,50,40
MT LEBANON,MARKHAM EL SCH,0,64,26
SHIKELLAMY,PRIESTLEY SCH,14,46,41
MT LEBANON,WASHINGTON EL SCH,1,69,18
CANON-MCMILLAN,WYLANDVILLE EL SCH,17,53,33
WEST CHESTER AREA,PENN WOOD EL SCH,12,59,27
NORTH ALLEGHENY,HOSACK EL SCH,6,49,37
PENN TRAFFORD,LEVEL GREEN EL SCH,10,47,39
PALMYRA AREA,FORGE ROAD EL SCH,0,57,29
PENNSBURY,EDGEWOOD EL SCH,1,52,34
DOWNINGTOWN AREA,UWCHLAN HILLS EL SCH,2,51,35
ABINGTON,ROSLYN SCH,14,58,27
FOX CHAPEL AREA,OHARA EL SCH,7,51,34
MT LEBANON,LINCOLN EL SCH,2,54,31
COUNCIL ROCK,WRIGHTSTOWN EL SCH,4,66,19
HATBORO-HORSHAM,HALLOWELL EL SCH,3,59,26
WEST CHESTER AREA,GLEN ACRES EL SCH,8,51,34
KISKI AREA,MAMONT EL SCH,16,52,32
KISKI AREA,NORTH WASHINGTON EL SCH,20,58,26
BRANDYWINE HEIGHTS,ROCKLAND CENTER EL SCH,4,67,17
GREAT VALLEY,SUGARTOWN EL SCH,6,52,32
WALLINGFRD SWARTHMRE,SWARTHMORE-RUTLEDGE SCH,5,71,13
HAMPTON TOWNSHIP,POFF EL SCH,6,46,37
MT LEBANON,JEFFERSON EL SCH,0,52,31
BRANDYWINE HEIGHTS,DISTRICT-TOPTON EL SCH,9,43,40
CENTRAL BUCKS,PINE RUN EL SCH,5,58,25
ABINGTON,MCKINLEY SCH,7,43,40
LOWER MERION,MERION EL SCH,2,46,37
WEST CHESTER AREA,WESTTOWN-THORNBURY EL S,9,52,31
HAVERFORD TWP.,COOPERTOWN EL SCH,4,43,40
BETHEL PARK,NEIL ARMSTRONG EL SCH,4,55,27
LOWER MERION,PENN WYNNE SCH,8,54,28
WEST CHESTER AREA,EAST BRADFORD SCH,6,50,32
WEST CHESTER AREA,EAST GOSHEN SCH,8,57,25
ROSE TREE MEDIA,GLENWOOD EL SCH,4,53,29
ROSE TREE MEDIA,INDIAN LANE EL SCH,5,51,31
UPPER ST CLAIR,BOYCE MS,3,45,36
HAMPTON TOWNSHIP,CENTRAL EL SCH,6,57,24
MT LEBANON,HOWE EL SCH,2,49,32
PENN TRAFFORD,HARRISON PARK EL SCH,16,44,37
CARLISLE AREA,MOORELAND EL SCH,11,55,26
SOUTHERN LEHIGH,LIBERTY BELL EL SCH,4,56,25
KISKI AREA,WASHINGTON EL SCH,25,42,38
BOYERTOWN AREA,NEW HANVR-UPR FREDRK EL,4,46,34
BETHLEHEM AREA,HANOVER EL SCH,3,54,26
DOWNINGTOWN AREA,LIONVILLE EL SCH,4,54,26
CARLISLE AREA,BELLAIRE EL SCH,28,54,25
CANON-MCMILLAN,BORLAND MANOR EL SCH,16,58,21
NORTH HILLS,PERRYSVILLE EL SCH,10,37,42
HEMPFIELD,CENTERVILLE EL SCH,14,51,28
ANTIETAM,MT PENN EL SCH,10,44,35
EXETER TOWNSHIP,JACKSONWALD EL SCH,9,42,37
CARLISLE AREA,NORTH DICKINSON EL SCH,3,50,29
DERRY TOWNSHIP,HERSHEY INTRMD SCH,7,51,28
SHIPPENSBURG AREA,ROWLAND SCH YOUNG CHILD,6,50,29
NESHAMINY,BUCK EL SCH,2,47,32
HATBORO-HORSHAM,BLAIR MILL EL SCH,5,54,25
JENKINTOWN,JENKINTOWN EL SCH,7,42,37
SOUDERTON AREA,OAK RIDGE EL SCH,3,57,22
SOUDERTON AREA,WEST BROAD ST EL SCH,12,40,39
DOWNINGTOWN AREA,SHAMONA CREEK EL SCH,1,50,29
GREAT VALLEY,CHARLESTOWN EL SCH,5,43,36
WEST CHESTER AREA,EXTON SCH,6,37,42
WEST CHESTER AREA,HILLSDALE EL SCH,10,48,31
WEST JEFFERSON HILLS,GILL HALL EL SCH,9,44,34
AVONWORTH,AVONWORTH EL SCH,9,38,40
DEER LAKES,DEER LAKES EL CTR,21,38,40
MOON AREA,ALLARD EL SCH,11,42,36
MOON AREA,BON MEADE EL SCH,9,39,39
MT LEBANON,FOSTER EL SCH,0,37,41
ELIZABETHTOWN AREA,RHEEMS EL SCH,12,40,38
WARWICK,JOHN BECK EL SCH,6,45,33
CARLISLE AREA,CRESTVIEW EL SCH,9,51,27
BETHLEHEM AREA,ASA PACKER EL SCH,4,52,26
PARKLAND,PARKWAY MANOR SCH,4,43,35
SOUTHERN LEHIGH,LOWER MILFORD EL SCH,5,50,28
KENNETT CONSOLIDATED,GREENWOOD EL SCH,7,51,27
OWEN J. ROBERTS,WARWICK EL SCH,12,60,18
TREDYFFRIN EASTTOWN,VALLEY FORGE MS,4,45,33
UNIONVLE CHADDS FORD,HILLENDALE EL SCH,1,43,35
HAZLETON AREA,A D THOMAS EL SCH,29,46,31
FOX CHAPEL AREA,FAIRVIEW EL SCH,3,48,29
NORTH ALLEGHENY,MARSHALL EL SCH,3,44,33
HARBOR CREEK,CLARK EL SCH,20,41,36
FRANKLIN REGIONAL,FRANKLIN REGIONAL UP EL,9,46,31
KISKI AREA,WEINELS EL SCH,19,44,33
STATE COLLEGE AREA,CORL STREET EL SCH,10,41,36
CHAMBERSBURG AREA,HAMILTON HEIGHTS EL SCH,8,46,31
PENNSBURY,ROOSEVELT EL SCH,7,42,35
METHACTON,ARROWHEAD EL SCH,9,43,34
FRANKLIN AREA,SANDYCREEK EL SCH,31,48,28
UPPER ADAMS,BENDERSVILLE EL SCH,26,44,32
SHIKELLAMY,SECOND STREET SCH,27,28,48
NORTH ALLEGHENY,PEEBLES EL SCH,1,38,38
CENTRAL BUCKS,DOYLE EL SCH,5,44,32
CENTRAL BUCKS,WARWICK EL SCH,3,49,27
PENNRIDGE,BEDMINSTER EL SCH,10,53,23
NORTH PENN,GEN NASH EL SCH,6,50,26
PHOENIXVILLE AREA,EAST PIKELAND EL SCH,6,50,26
WEST CHESTER AREA,FERN HILL EL SCH,6,50,26
ROSE TREE MEDIA,ROSE TREE EL SCH,3,55,21
BEAVER AREA,BRIGHTON TWP EL SCH,9,40,36
BEAVER AREA,COLLEGE SQUARE EL SCH,15,43,33
MT LEBANON,HOOVER EL SCH,1,43,32
NORTH ALLEGHENY,BRADFORD WOODS EL SCH,2,43,32
DALLASTOWN AREA,LEADERS HEIGHTS EL SCH,3,53,22
NORTHEASTERN YORK,ORENDORF EL SCH,21,40,35
PENN MANOR,LETORT EL SCH,10,47,28
BOYERTOWN AREA,PINE FORGE EL SCH,9,32,43
WYOMISSING AREA,WEST READING EL CTR,6,56,19
NORTHAMPTON AREA,FRANKLIN EL SCH,9,29,46
CENTRAL BUCKS,BUTLER EL SCH,3,45,30
PENNSBURY,QUARRY HILL EL SCH,1,41,34
ABINGTON,GLENSIDE-WELDON SCH,10,40,35
LOWER MERION,CYNWYD SCH,5,52,23
SPRINGFIELD TWP.,ENFIELD EL SCH,7,40,35
RADNOR TOWNSHIP,RADNOR MS,4,44,31
INDIANA AREA,EISENHOWER EL SCH,22,47,28
STATE COLLEGE AREA,FAIRMOUNT AVENUE EL SCH,30,22,52
BETHEL PARK,WILLIAM PENN EL SCH,7,50,24
CARLYNTON,CRAFTON EL SCH,4,32,42
NORTH HILLS,MCINTYRE EL SCH,5,40,34
PENNS VALLEY AREA,CENTRE HALL-POTTER EL,28,51,23
STATE COLLEGE AREA,FERGUSON TWP EL SCH,11,33,41
